,Device_Type,Order_Date,Monthly_Demand,Lead_Time,Stock_Level
264,Monitoring,2018-10-03,635,29,684
265,Monitoring,2018-10-04,664,10,695
266,Monitoring,2018-10-05,536,26,566
267,Surgical,2018-10-07,652,14,690
268,Diagnostic,2018-10-09,636,15,678
269,Surgical,2018-10-10,588,9,627
270,Monitoring,2018-10-10,578,9,617
271,Therapeutic,2018-10-12,647,7,682
272,Surgical,2018-10-13,583,7,612
273,Surgical,2018-10-15,624,18,672
274,Diagnostic,2018-10-16,679,28,723
275,Surgical,2018-10-17,670,12,700
276,Monitoring,2018-10-20,529,9,561
277,Surgical,2018-10-20,583,21,608
278,Diagnostic,2018-10-20,586,23,615
279,Diagnostic,2018-10-22,672,16,705
280,Therapeutic,2018-10-23,517,17,549
281,Surgical,2018-10-24,685,8,732
282,Therapeutic,2018-10-24,696,19,726
283,Surgical,2018-10-26,590,22,611
284,Surgical,2018-10-27,600,20,621
285,Therapeutic,2018-10-29,626,27,639
286,Diagnostic,2018-10-30,596,5,640
287,Monitoring,2018-10-31,661,4,682
288,Monitoring,2018-10-31,563,4,588
289,Surgical,2018-11-01,675,26,727
290,Monitoring,2018-11-02,647,8,685
291,Surgical,2018-11-02,682,28,701
292,Monitoring,2018-11-03,587,26,609
293,Therapeutic,2018-11-03,637,4,661
294,Diagnostic,2018-11-04,617,25,654
295,Surgical,2018-11-05,616,24,630
296,Diagnostic,2018-11-06,709,23,738
297,Diagnostic,2018-11-06,559,27,599
298,Diagnostic,2018-11-09,606,12,635
299,Surgical,2018-11-11,710,20,740
300,Therapeutic,2018-11-14,633,26,665
301,Surgical,2018-11-15,646,11,660
302,Therapeutic,2018-11-15,625,8,674
303,Therapeutic,2018-11-15,552,18,591
304,Diagnostic,2018-11-16,638,15,669
305,Monitoring,2018-11-16,542,11,572
306,Diagnostic,2018-11-17,660,5,710
307,Monitoring,2018-11-18,685,18,705
308,Surgical,2018-11-21,616,7,640
309,Therapeutic,2018-11-21,587,4,631
310,Surgical,2018-11-21,721,4,743
311,Monitoring,2018-11-22,658,11,707
312,Diagnostic,2018-11-22,594,3,607
313,Monitoring,2018-11-22,723,28,769
314,Diagnostic,2018-11-25,628,16,660
315,Monitoring,2018-11-25,570,13,597
316,Surgical,2018-11-26,724,12,746
317,Surgical,2018-11-26,518,25,557
318,Therapeutic,2018-11-26,596,15,619
319,Monitoring,2018-11-26,617,7,653
320,Surgical,2018-11-27,690,22,723
321,Therapeutic,2018-11-28,548,15,591
322,Surgical,2018-11-28,609,17,650
323,Monitoring,2018-11-29,680,28,732
324,Therapeutic,2018-11-30,665,20,704
325,Therapeutic,2018-12-03,634,23,681
326,Monitoring,2018-12-04,640,4,674
327,Diagnostic,2018-12-06,631,8,658
328,Surgical,2018-12-07,605,12,641
329,Monitoring,2018-12-07,637,18,650
330,Surgical,2018-12-10,668,21,715
331,Diagnostic,2018-12-10,694,28,716
332,Diagnostic,2018-12-14,686,3,713
333,Monitoring,2018-12-14,616,25,630
334,Surgical,2018-12-14,607,5,650
335,Therapeutic,2018-12-15,661,22,685
336,Surgical,2018-12-16,631,6,656
337,Monitoring,2018-12-17,667,12,684
338,Surgical,2018-12-19,625,15,672
339,Diagnostic,2018-12-19,697,17,747
340,Surgical,2018-12-21,648,6,669
341,Monitoring,2018-12-21,588,8,622
342,Diagnostic,2018-12-21,643,21,669
343,Surgical,2018-12-22,706,29,748
344,Surgical,2018-12-23,740,18,791
345,Therapeutic,2018-12-23,609,8,639
346,Therapeutic,2018-12-24,694,29,746
347,Surgical,2018-12-25,667,22,696
348,Monitoring,2018-12-25,703,11,739
349,Therapeutic,2018-12-29,748,6,777
350,Monitoring,2018-12-29,638,23,675
351,Diagnostic,2018-12-30,650,25,666
352,Monitoring,2018-12-31,693,3,710
353,Monitoring,2018-12-31,665,15,715
354,Monitoring,2018-12-31,588,4,612
355,Diagnostic,2019-01-02,738,5,788
356,Diagnostic,2019-01-04,666,25,683
357,Therapeutic,2019-01-06,599,13,634
358,Monitoring,2019-01-06,681,17,731
359,Therapeutic,2019-01-07,711,11,764
360,Therapeutic,2019-01-08,663,4,708
361,Surgical,2019-01-08,786,15,803
362,Surgical,2019-01-11,628,8,665
363,Therapeutic,2019-01-11,710,13,761
364,Surgical,2019-01-11,697,26,739
365,Therapeutic,2019-01-11,640,18,664
366,Diagnostic,2019-01-12,715,24,747
367,Monitoring,2019-01-13,583,20,595
368,Diagnostic,2019-01-14,623,19,642
369,Diagnostic,2019-01-14,627,27,660
370,Monitoring,2019-01-18,610,12,631
371,Therapeutic,2019-01-22,745,24,793
372,Surgical,2019-01-22,766,8,801
373,Monitoring,2019-01-22,706,6,747
374,Surgical,2019-01-22,741,8,788
375,Diagnostic,2019-01-22,757,20,778
376,Therapeutic,2019-01-24,651,21,695
377,Monitoring,2019-01-26,658,29,694
378,Diagnostic,2019-01-27,664,15,690
379,Surgical,2019-01-27,766,15,813
380,Surgical,2019-01-28,659,24,700
381,Surgical,2019-01-29,639,22,686
382,Therapeutic,2019-01-30,715,29,738
383,Diagnostic,2019-01-30,645,8,672
384,Diagnostic,2019-01-31,710,17,755
385,Surgical,2019-01-31,739,8,760
386,Surgical,2019-02-03,707,17,726
387,Surgical,2019-02-05,776,27,820
388,Surgical,2019-02-05,688,15,704
389,Monitoring,2019-02-05,665,23,697
390,Monitoring,2019-02-07,724,3,764
391,Therapeutic,2019-02-07,597,21,619
392,Diagnostic,2019-02-08,666,27,680
393,Diagnostic,2019-02-09,612,28,637
394,Surgical,2019-02-09,649,17,662
395,Monitoring,2019-02-10,677,16,701
396,Surgical,2019-02-18,684,21,706
397,Monitoring,2019-02-19,702,16,746
398,Monitoring,2019-02-19,689,8,703
399,Surgical,2019-02-20,720,15,736
400,Diagnostic,2019-02-21,763,22,811
401,Surgical,2019-02-23,746,25,779
402,Monitoring,2019-02-23,759,24,774
403,Surgical,2019-02-24,790,18,828
404,Surgical,2019-02-26,734,25,768
405,Therapeutic,2019-03-02,780,14,800
406,Therapeutic,2019-03-02,679,8,730
407,Surgical,2019-03-03,751,20,766
408,Therapeutic,2019-03-04,807,11,830
409,Surgical,2019-03-06,697,14,732
410,Therapeutic,2019-03-07,717,18,750
411,Diagnostic,2019-03-09,699,24,754
412,Therapeutic,2019-03-11,743,9,770
413,Diagnostic,2019-03-12,675,12,702
414,Diagnostic,2019-03-13,659,27,705
415,Monitoring,2019-03-14,761,11,820
416,Diagnostic,2019-03-14,727,29,754
417,Surgical,2019-03-17,715,3,742
418,Monitoring,2019-03-17,833,22,855
419,Diagnostic,2019-03-19,699,24,715
420,Diagnostic,2019-03-19,700,4,740
421,Diagnostic,2019-03-20,893,5,921
422,Therapeutic,2019-03-20,730,20,758
423,Surgical,2019-03-20,747,4,782
424,Diagnostic,2019-03-21,716,13,757
425,Therapeutic,2019-03-22,793,28,840
426,Diagnostic,2019-03-22,782,18,840
427,Diagnostic,2019-03-23,683,27,725
428,Surgical,2019-03-23,760,4,783
429,Monitoring,2019-03-25,782,20,837
430,Surgical,2019-03-26,606,28,637
431,Surgical,2019-03-29,780,24,841
432,Diagnostic,2019-03-29,777,23,798
433,Monitoring,2019-03-30,739,25,754
434,Surgical,2019-03-31,805,6,859
435,Surgical,2019-04-01,799,16,818
436,Therapeutic,2019-04-01,722,19,770
437,Diagnostic,2019-04-02,708,10,740
438,Monitoring,2019-04-04,731,23,749
439,Therapeutic,2019-04-06,749,16,783
440,Monitoring,2019-04-07,748,22,790
441,Surgical,2019-04-08,866,25,905
442,Diagnostic,2019-04-10,649,9,681
443,Surgical,2019-04-11,729,28,779
444,Diagnostic,2019-04-14,819,19,843
445,Therapeutic,2019-04-16,655,7,696
446,Diagnostic,2019-04-16,748,17,789
447,Diagnostic,2019-04-17,708,14,754
448,Surgical,2019-04-18,747,22,788
449,Surgical,2019-04-19,758,23,807
450,Diagnostic,2019-04-19,854,25,885
451,Monitoring,2019-04-23,771,21,798
452,Diagnostic,2019-04-25,758,12,785
453,Surgical,2019-04-26,755,16,787
454,Diagnostic,2019-04-27,848,20,888
455,Therapeutic,2019-05-02,797,19,813
456,Surgical,2019-05-05,657,22,700
457,Surgical,2019-05-06,647,6,676
458,Therapeutic,2019-05-08,830,26,864
459,Surgical,2019-05-09,754,20,802
460,Diagnostic,2019-05-09,769,4,788
461,Diagnostic,2019-05-10,817,19,870
462,Surgical,2019-05-10,745,22,803
463,Therapeutic,2019-05-11,741,4,799
464,Monitoring,2019-05-12,755,21,772
465,Monitoring,2019-05-12,811,8,846
466,Therapeutic,2019-05-12,792,28,854
467,Monitoring,2019-05-13,763,13,791
468,Therapeutic,2019-05-13,757,11,800
469,Diagnostic,2019-05-14,778,15,801
470,Therapeutic,2019-05-16,733,17,785
471,Surgical,2019-05-16,678,14,709
472,Therapeutic,2019-05-16,698,8,715
473,Surgical,2019-05-17,829,12,892
474,Diagnostic,2019-05-18,683,21,724
475,Diagnostic,2019-05-20,742,9,782
476,Monitoring,2019-05-22,701,9,724
477,Therapeutic,2019-05-23,770,15,828
478,Surgical,2019-05-24,644,22,681
479,Surgical,2019-05-24,854,26,871
480,Monitoring,2019-05-26,767,23,827
481,Surgical,2019-05-26,913,15,964
482,Monitoring,2019-05-27,757,27,791
483,Diagnostic,2019-05-30,752,7,782
484,Diagnostic,2019-05-30,721,25,740
485,Diagnostic,2019-06-03,758,20,806
486,Therapeutic,2019-06-04,743,9,791
487,Therapeutic,2019-06-06,785,8,847
488,Monitoring,2019-06-06,813,16,835
489,Monitoring,2019-06-06,834,5,875
490,Surgical,2019-06-07,846,17,868
491,Therapeutic,2019-06-09,774,21,805
492,Monitoring,2019-06-10,777,27,817
493,Monitoring,2019-06-11,723,19,778
494,Therapeutic,2019-06-11,695,25,731
495,Surgical,2019-06-12,675,23,728
496,Diagnostic,2019-06-12,682,12,717
497,Surgical,2019-06-12,764,4,797
498,Surgical,2019-06-13,828,7,872
499,Monitoring,2019-06-14,765,23,809
500,Diagnostic,2019-06-15,848,13,890
501,Monitoring,2019-06-17,816,29,875
502,Surgical,2019-06-18,856,18,882
503,Surgical,2019-06-18,786,3,806
504,Therapeutic,2019-06-19,802,29,850
505,Diagnostic,2019-06-22,738,14,783
506,Surgical,2019-06-22,842,20,904
507,Monitoring,2019-06-24,733,28,756
508,Surgical,2019-06-24,798,24,850
509,Monitoring,2019-06-25,814,23,866
510,Therapeutic,2019-06-25,741,3,794
511,Diagnostic,2019-06-25,707,23,723
512,Therapeutic,2019-06-26,725,16,767
513,Diagnostic,2019-06-26,806,19,843
514,Therapeutic,2019-06-28,780,26,830
515,Therapeutic,2019-06-29,763,17,797
516,Surgical,2019-06-29,839,15,893
517,Surgical,2019-06-30,780,12,831
518,Diagnostic,2019-06-30,773,11,814
519,Diagnostic,2019-07-01,754,25,810
520,Therapeutic,2019-07-03,733,19,786
521,Diagnostic,2019-07-04,759,15,797
522,Surgical,2019-07-05,759,8,793
523,Monitoring,2019-07-06,804,18,837
524,Diagnostic,2019-07-06,748,19,765
525,Therapeutic,2019-07-06,806,12,852
526,Diagnostic,2019-07-10,767,10,786
527,Diagnostic,2019-07-10,753,9,788
528,Diagnostic,2019-07-11,788,9,815
529,Therapeutic,2019-07-11,788,8,829
530,Diagnostic,2019-07-12,798,24,817
531,Monitoring,2019-07-12,767,4,805
532,Monitoring,2019-07-14,853,15,904
533,Diagnostic,2019-07-14,806,19,867
534,Therapeutic,2019-07-14,849,26,915
535,Diagnostic,2019-07-15,822,18,887
536,Diagnostic,2019-07-15,739,11,756
537,Monitoring,2019-07-16,758,11,776
538,Diagnostic,2019-07-16,774,4,831
539,Diagnostic,2019-07-17,755,3,784
540,Therapeutic,2019-07-17,838,8,892
541,Diagnostic,2019-07-19,763,20,795
542,Therapeutic,2019-07-19,736,22,768
543,Surgical,2019-07-20,812,11,847
544,Diagnostic,2019-07-20,781,21,809
545,Monitoring,2019-07-20,738,10,784
546,Monitoring,2019-07-20,840,20,859
547,Monitoring,2019-07-21,760,8,805
548,Diagnostic,2019-07-22,809,26,855
549,Monitoring,2019-07-23,849,7,879
550,Surgical,2019-07-24,891,4,916
551,Monitoring,2019-07-24,726,17,773
552,Surgical,2019-07-27,710,16,765
553,Monitoring,2019-07-27,737,8,792
554,Therapeutic,2019-07-28,713,11,728
555,Therapeutic,2019-07-29,794,29,821
556,Diagnostic,2019-07-29,828,9,853
557,Diagnostic,2019-08-01,716,24,764
558,Therapeutic,2019-08-02,826,19,889
559,Diagnostic,2019-08-02,703,28,732
560,Monitoring,2019-08-03,872,21,910
561,Surgical,2019-08-05,803,10,847
562,Therapeutic,2019-08-05,751,29,786
563,Surgical,2019-08-06,827,9,859
564,Diagnostic,2019-08-07,758,27,798
565,Monitoring,2019-08-12,880,25,949
566,Surgical,2019-08-13,781,22,834
567,Diagnostic,2019-08-14,793,3,831
568,Monitoring,2019-08-14,832,16,884
569,Diagnostic,2019-08-15,826,19,878
570,Therapeutic,2019-08-15,812,4,834
571,Surgical,2019-08-18,718,28,757
572,Monitoring,2019-08-18,862,13,891
573,Surgical,2019-08-18,755,14,789
574,Therapeutic,2019-08-18,818,19,850
575,Monitoring,2019-08-19,737,9,762
576,Diagnostic,2019-08-19,694,11,742
577,Diagnostic,2019-08-20,686,4,734
578,Monitoring,2019-08-21,787,7,841
579,Monitoring,2019-08-21,758,5,783
580,Therapeutic,2019-08-21,830,3,880
581,Diagnostic,2019-08-22,635,18,654
582,Surgical,2019-08-24,841,3,901
583,Monitoring,2019-08-24,742,5,779
584,Diagnostic,2019-08-24,801,9,834
585,Monitoring,2019-08-26,852,10,880
586,Diagnostic,2019-08-27,677,9,722
587,Surgical,2019-08-28,821,4,866
588,Surgical,2019-08-28,679,25,720
589,Surgical,2019-08-29,784,24,800
590,Therapeutic,2019-08-29,732,22,782
591,Monitoring,2019-08-31,870,21,920
592,Monitoring,2019-09-01,756,4,776
593,Monitoring,2019-09-04,744,12,779
594,Surgical,2019-09-06,735,6,788
595,Monitoring,2019-09-06,784,14,800
596,Therapeutic,2019-09-06,787,27,805
597,Diagnostic,2019-09-07,810,26,830
598,Monitoring,2019-09-08,730,20,780
599,Therapeutic,2019-09-08,814,7,854
600,Diagnostic,2019-09-08,800,15,824
601,Therapeutic,2019-09-10,772,19,817
602,Surgical,2019-09-11,832,7,888
603,Diagnostic,2019-09-12,721,23,757
604,Therapeutic,2019-09-12,779,16,811
605,Diagnostic,2019-09-13,785,7,830
606,Therapeutic,2019-09-15,728,7,757
607,Therapeutic,2019-09-16,752,18,769
608,Surgical,2019-09-18,808,16,849
609,Monitoring,2019-09-18,751,6,768
610,Surgical,2019-09-18,716,17,768
611,Monitoring,2019-09-21,790,26,811
612,Monitoring,2019-09-22,739,3,766
613,Monitoring,2019-09-25,711,25,762
614,Monitoring,2019-09-26,788,26,849
615,Monitoring,2019-09-27,740,7,778
616,Surgical,2019-09-27,620,29,636
617,Monitoring,2019-09-29,743,13,773
618,Diagnostic,2019-09-30,768,27,828
619,Therapeutic,2019-10-02,839,18,855
620,Diagnostic,2019-10-02,763,7,793
621,Diagnostic,2019-10-04,841,19,901
622,Diagnostic,2019-10-04,720,5,770
623,Monitoring,2019-10-05,704,4,722
624,Therapeutic,2019-10-09,788,7,837
625,Surgical,2019-10-11,773,7,803
626,Diagnostic,2019-10-11,765,8,810
627,Therapeutic,2019-10-15,694,9,721
628,Surgical,2019-10-16,841,24,859
629,Monitoring,2019-10-16,820,16,842
630,Surgical,2019-10-17,808,19,856
631,Diagnostic,2019-10-17,804,6,823
632,Therapeutic,2019-10-19,825,9,870
633,Therapeutic,2019-10-21,745,15,783
634,Surgical,2019-10-21,742,20,775
635,Therapeutic,2019-10-22,699,10,721
636,Monitoring,2019-10-22,853,15,881
637,Surgical,2019-10-23,812,12,850
638,Surgical,2019-10-23,799,19,860
639,Therapeutic,2019-10-24,864,28,916
640,Surgical,2019-10-25,798,15,828
641,Surgical,2019-10-26,883,3,947
642,Monitoring,2019-10-26,761,16,787
643,Diagnostic,2019-10-28,741,8,789
644,Therapeutic,2019-10-28,771,24,809
645,Surgical,2019-10-29,810,7,839
646,Monitoring,2019-10-29,739,11,768
647,Surgical,2019-10-30,753,28,797
648,Diagnostic,2019-10-30,788,28,821
649,Monitoring,2019-11-01,861,15,911
650,Diagnostic,2019-11-03,699,11,718
651,Therapeutic,2019-11-03,769,7,805
652,Therapeutic,2019-11-04,824,25,868
653,Monitoring,2019-11-07,813,29,852
654,Surgical,2019-11-07,695,28,710
655,Monitoring,2019-11-08,803,17,860
656,Surgical,2019-11-09,711,12,767
